,ID,label
0,0,9
1,1,4
2,2,1
3,3,7
4,4,1
5,5,9
6,6,1
7,7,6
8,8,0
9,9,0
10,10,8
11,11,3
12,12,4
13,13,3
14,14,2
15,15,1
16,16,4
17,17,9
18,18,3
19,19,9
20,20,5
21,21,9
22,22,2
23,23,2
24,24,5
25,25,4
26,26,5
27,27,3
28,28,1
29,29,8
30,30,7
31,31,5
32,32,9
33,33,2
34,34,5
35,35,6
36,36,0
37,37,0
38,38,8
39,39,2
40,40,5
41,41,6
42,42,4
43,43,9
44,44,6
45,45,5
46,46,1
47,47,7
48,48,8
49,49,4
50,50,5
51,51,0
52,52,7
53,53,2
54,54,5
55,55,6
56,56,6
57,57,9
58,58,7
59,59,1
60,60,9
61,61,6
62,62,5
63,63,3
64,64,8
65,65,2
66,66,2
67,67,1
68,68,6
69,69,9
70,70,0
71,71,3
72,72,7
73,73,7
74,74,9
75,75,8
76,76,2
77,77,5
78,78,0
79,79,1
80,80,2
81,81,8
82,82,9
83,83,5
84,84,6
85,85,8
86,86,6
87,87,5
88,88,7
89,89,0
90,90,1
91,91,4
92,92,0
93,93,9
94,94,5
95,95,5
96,96,9
97,97,4
98,98,3
99,99,4
100,100,7
101,101,7
102,102,8
103,103,4
104,104,1
105,105,0
106,106,5
107,107,6
108,108,9
109,109,0
110,110,5
111,111,8
112,112,4
113,113,7
114,114,1
115,115,8
116,116,5
117,117,7
118,118,5
119,119,2
120,120,2
121,121,6
122,122,6
123,123,7
124,124,5
125,125,2
126,126,9
127,127,2
128,128,0
129,129,2
130,130,8
131,131,2
132,132,4
133,133,3
134,134,5
135,135,7
136,136,9
137,137,7
138,138,8
139,139,6
140,140,1
141,141,1
142,142,8
143,143,8
144,144,4
145,145,4
146,146,7
147,147,1
148,148,4
149,149,6
150,150,1
151,151,0
152,152,1
153,153,6
154,154,2
155,155,5
156,156,6
157,157,6
158,158,3
159,159,0
160,160,8
161,161,1
162,162,1
163,163,7
164,164,7
165,165,8
166,166,1
167,167,3
168,168,6
169,169,6
170,170,1
171,171,6
172,172,0
173,173,5
174,174,1
175,175,7
176,176,6
177,177,5
178,178,0
179,179,4
180,180,1
181,181,6
182,182,2
183,183,2
184,184,1
185,185,8
186,186,1
187,187,8
188,188,5
189,189,3
190,190,8
191,191,9
192,192,9
193,193,8
194,194,1
195,195,3
196,196,2
197,197,1
198,198,4
199,199,8
200,200,3
201,201,4
202,202,4
203,203,8
204,204,6
205,205,4
206,206,4
207,207,0
208,208,9
209,209,7
210,210,6
211,211,4
212,212,4
213,213,8
214,214,1
215,215,8
216,216,3
217,217,2
218,218,0
219,219,5
220,220,2
221,221,9
222,222,3
223,223,9
224,224,4
225,225,4
226,226,6
227,227,2
228,228,5
229,229,8
230,230,1
231,231,5
232,232,0
233,233,1
234,234,1
235,235,8
236,236,5
237,237,2
238,238,8
239,239,0
240,240,2
241,241,4
