,ID,label
0,0,1
1,1,0
2,2,1
3,3,0
4,4,1
5,5,0
6,6,1
7,7,1
8,8,0
9,9,1
10,10,0
11,11,1
12,12,1
13,13,1
14,14,0
15,15,0
16,16,1
17,17,0
18,18,0
19,19,1
20,20,0
21,21,1
22,22,1
23,23,0
24,24,1
25,25,0
26,26,1
27,27,0
28,28,1
29,29,1
30,30,0
31,31,0
32,32,0
33,33,1
34,34,0
35,35,0
36,36,0
37,37,1
38,38,0
39,39,1
40,40,0
41,41,0
42,42,0
43,43,1
44,44,0
45,45,0
46,46,1
47,47,0
48,48,0
49,49,0
50,50,1
51,51,0
52,52,1
53,53,1
54,54,1
55,55,1
56,56,0
57,57,1
58,58,0
59,59,0
60,60,1
61,61,1
62,62,0
63,63,0
64,64,1
65,65,1
66,66,0
67,67,0
68,68,1
69,69,0
70,70,1
71,71,0
72,72,0
73,73,1
74,74,1
75,75,0
76,76,0
77,77,1
78,78,1
79,79,1
80,80,1
81,81,1
82,82,1
83,83,0
84,84,1
85,85,1
86,86,0
87,87,1
88,88,0
89,89,1
90,90,0
91,91,1
92,92,1
93,93,1
94,94,0
95,95,1
96,96,1
97,97,1
98,98,1
99,99,1
100,100,1
101,101,1
102,102,0
103,103,0
104,104,0
105,105,1
106,106,1
107,107,1
108,108,0
109,109,0
110,110,1
111,111,0
112,112,1
113,113,1
114,114,0
115,115,0
116,116,0
117,117,1
118,118,0
119,119,0
120,120,0
121,121,0
122,122,0
123,123,1
124,124,1
125,125,1
126,126,1
127,127,0
128,128,0
129,129,1
130,130,1
131,131,0
132,132,1
133,133,0
134,134,1
135,135,0
136,136,1
137,137,0
138,138,0
139,139,0
140,140,0
141,141,1
142,142,1
143,143,1
144,144,0
145,145,0
146,146,1
147,147,0
148,148,1
149,149,0
150,150,1
151,151,0
152,152,1
153,153,0
154,154,0
155,155,1
156,156,1
157,157,1
158,158,0
159,159,1
160,160,0
161,161,0
162,162,0
163,163,1
164,164,1
165,165,0
166,166,1
167,167,1
168,168,1
169,169,1
170,170,0
171,171,0
172,172,0
173,173,1
174,174,1
175,175,1
176,176,0
177,177,0
178,178,1
179,179,0
180,180,1
181,181,1
182,182,0
183,183,0
184,184,0
185,185,1
186,186,0
187,187,0
188,188,1
189,189,0
190,190,0
191,191,1
192,192,0
193,193,0
194,194,1
195,195,0
196,196,0
197,197,0
198,198,0
199,199,1
200,200,1
201,201,1
202,202,1
203,203,1
204,204,1
205,205,1
206,206,1
207,207,0
208,208,0
209,209,1
210,210,1
211,211,0
212,212,0
213,213,0
214,214,1
215,215,0
216,216,1
217,217,0
218,218,1
219,219,1
220,220,1
221,221,1
222,222,1
223,223,1
224,224,1
225,225,1
226,226,0
227,227,0
228,228,0
229,229,1
230,230,0
231,231,1
232,232,1
233,233,1
234,234,1
235,235,0
236,236,0
237,237,1
238,238,1
239,239,0
240,240,1
241,241,1
242,242,1
243,243,1
244,244,0
245,245,0
246,246,0
247,247,0
248,248,1
249,249,0
250,250,1
251,251,1
252,252,1
253,253,0
254,254,1
255,255,0
256,256,0
257,257,1
258,258,1
259,259,0
260,260,0
261,261,1
262,262,0
263,263,0
264,264,1
265,265,0
266,266,1
267,267,0
268,268,1
269,269,1
270,270,0
271,271,0
272,272,0
273,273,1
274,274,1
275,275,1
276,276,1
277,277,0
278,278,1
279,279,1
280,280,0
281,281,1
282,282,0
283,283,0
284,284,0
285,285,0
286,286,0
287,287,1
288,288,1
289,289,0
290,290,0
291,291,1
292,292,1
293,293,0
294,294,1
295,295,0
296,296,1
297,297,1
298,298,1
299,299,1
300,300,1
301,301,1
302,302,1
303,303,0
304,304,0
305,305,1
306,306,1
307,307,0
308,308,0
309,309,0
310,310,1
311,311,0
312,312,0
313,313,1
314,314,0
315,315,0
316,316,0
317,317,1
318,318,0
319,319,0
320,320,0
321,321,1
322,322,1
323,323,1
324,324,0
325,325,1
326,326,0
327,327,0
328,328,0
329,329,0
330,330,0
331,331,1
332,332,0
333,333,0
334,334,1
335,335,1
336,336,0
337,337,0
338,338,1
339,339,0
340,340,0
341,341,1
342,342,1
343,343,0
344,344,1
345,345,0
346,346,1
347,347,0
348,348,1
349,349,1
350,350,1
351,351,1
352,352,0
353,353,0
354,354,0
355,355,1
356,356,1
357,357,0
358,358,0
359,359,1
360,360,0
361,361,0
362,362,1
363,363,1
364,364,1
365,365,0
366,366,0
367,367,0
368,368,1
369,369,0
370,370,0
371,371,0
372,372,1
373,373,1
374,374,1
375,375,0
376,376,1
377,377,1
378,378,1
379,379,0
380,380,1
381,381,0
382,382,1
383,383,1
384,384,1
385,385,0
386,386,0
387,387,0
388,388,0
389,389,0
390,390,1
391,391,0
392,392,1
393,393,0
394,394,0
395,395,1
396,396,1
397,397,1
398,398,1
399,399,0
400,400,1
401,401,1
